Date,Value
2014-06-23,102.1785
2014-06-20,102.3164
2014-06-19,102.3019
2014-06-18,102.6083
2014-06-17,102.64
2014-06-16,102.4098
2014-06-13,102.433
2014-06-12,102.3312
2014-06-11,102.4972
2014-06-10,102.575
2014-06-09,102.4897
2014-06-06,102.4483
2014-06-05,102.532
2014-06-04,102.6845
2014-06-03,102.6167
2014-06-02,102.5597
2014-05-30,102.3144
2014-05-29,102.2308
2014-05-28,102.4279
2014-05-27,102.3892
2014-05-23,102.2355
2014-05-22,102.2243
2014-05-21,102.2888
2014-05-20,102.2064
2014-05-19,102.0334
2014-05-16,102.1418
2014-05-15,102.2371
2014-05-14,102.1208
2014-05-13,102.2137
2014-05-12,102.2119
2014-05-09,102.2056
2014-05-08,101.9193
2014-05-07,101.9927
2014-05-06,101.9957
2014-05-05,102.3125
2014-05-02,102.4168
2014-05-01,102.4728
2014-04-30,102.4924
2014-04-29,102.6219
2014-04-28,102.7247
2014-04-25,102.7586
2014-04-24,102.7139
2014-04-23,102.7164
2014-04-22,102.6511
2014-04-21,102.5825
2014-04-18,102.4996
2014-04-17,102.4285
2014-04-16,102.4897
2014-04-15,102.4997
2014-04-14,102.3483
2014-04-11,102.1599
2014-04-10,102.0372
2014-04-09,102.1842
2014-04-08,102.175
2014-04-07,102.6225
2014-04-04,102.7456
2014-04-03,103.0416
2014-04-02,102.8309
2014-04-01,102.6357
2014-03-31,102.7788
2014-03-28,102.9109
2014-03-27,102.8787
2014-03-26,103.0579
2014-03-25,103.1549
2014-03-24,103.2731
2014-03-21,103.4122
2014-03-20,103.5496
2014-03-19,102.879
2014-03-18,102.772
2014-03-17,102.6943
2014-03-14,102.7204
2014-03-13,102.6533
2014-03-12,102.9306
2014-03-11,102.8513
2014-03-10,102.8321
2014-03-07,102.7033
2014-03-06,102.4346
2014-03-05,102.9244
2014-03-04,103.1185
2014-03-03,103.0763
2014-02-28,102.8555
2014-02-27,103.1222
2014-02-26,103.212
2014-02-25,102.9155
2014-02-24,102.8097
2014-02-21,103.0297
2014-02-20,103.0535
2014-02-19,102.7644
2014-02-18,102.5705
2014-02-14,102.6363
2014-02-13,102.8824
2014-02-12,102.9732
2014-02-11,102.9863
2014-02-10,103.0635
2014-02-07,103.0979
2014-02-06,103.0534
2014-02-05,103.3636
2014-02-04,103.3946
2014-02-03,103.6114
2014-01-31,103.5382
2014-01-30,103.4784
2014-01-29,103.2065
2014-01-28,103.2212
2014-01-27,103.2561
2014-01-24,103.1923
2014-01-23,103.1702
2014-01-22,103.1598
2014-01-21,102.988
2014-01-17,102.8671
2014-01-16,102.8309
2014-01-15,102.6096
2014-01-14,102.284
2014-01-13,102.1548
2014-01-10,102.2769
2014-01-09,102.6219
2014-01-08,102.5153
2014-01-07,102.3396
2014-01-06,102.2205
2014-01-03,102.1548
2014-01-02,102.1103
2014-01-01,102.1016
2013-12-31,101.859
2013-12-30,101.7971
2013-12-27,102.0068
2013-12-26,102.0824
2013-12-24,101.9863
2013-12-23,101.8811
2013-12-20,102.025
2013-12-19,102.0389
2013-12-18,101.7045
2013-12-17,101.5727
2013-12-16,101.4982
2013-12-13,101.632
2013-12-12,101.6964
2013-12-11,101.3559
2013-12-10,101.338
2013-12-09,101.4011
2013-12-06,101.6772
2013-12-05,101.7861
2013-12-04,102.1956
2013-12-03,102.1301
2013-12-02,102.1892
2013-11-29,101.9382
2013-11-27,101.988
2013-11-26,101.8097
2013-11-25,101.826
2013-11-22,101.6989
2013-11-21,101.8491
2013-11-20,101.529
2013-11-19,101.3259
2013-11-18,101.245
2013-11-15,101.5531
2013-11-14,101.6932
2013-11-13,101.7543
2013-11-12,102.026
2013-11-08,101.9044
2013-11-07,101.646
2013-11-06,101.3404
2013-11-05,101.4592
2013-11-04,101.1754
2013-11-01,101.3904
2013-10-31,100.9573
2013-10-30,100.5098
2013-10-29,100.5044
2013-10-28,100.3829
2013-10-25,100.3541
2013-10-24,100.3888
2013-10-23,100.2975
2013-10-22,100.1976
2013-10-21,100.4848
2013-10-18,100.2303
2013-10-17,100.2627
2013-10-16,100.916
2013-10-15,100.9964
2013-10-11,101.1244
2013-10-10,101.1197
2013-10-09,101.3551
2013-10-08,101.0453
2013-10-07,100.9553
2013-10-04,100.9285
2013-10-03,101.0421
2013-10-02,101.0722
2013-10-01,101.2551
2013-09-30,101.2425
2013-09-27,101.2772
2013-09-26,101.2972
2013-09-25,101.0647
2013-09-24,101.0544
2013-09-23,100.8939
2013-09-20,100.8676
2013-09-19,100.6621
2013-09-18,101.5564
2013-09-17,101.5177
2013-09-16,101.5909
2013-09-13,101.9719
2013-09-12,101.8931
2013-09-11,102.0214
2013-09-10,102.2471
2013-09-09,102.3162
2013-09-06,102.5591
2013-09-05,103.2053
2013-09-04,102.8677
2013-09-03,103.2455
2013-08-30,103.0227
2013-08-29,102.9091
2013-08-28,102.6979
2013-08-27,102.6865
2013-08-26,102.4578
2013-08-23,102.2212
2013-08-22,102.56
2013-08-21,102.3298
2013-08-20,101.8468
2013-08-19,101.9552
2013-08-16,101.6917
2013-08-15,101.7715
2013-08-14,101.6505
2013-08-13,101.7361
2013-08-12,101.1704
2013-08-09,101.0887
2013-08-08,101.0897
2013-08-07,101.51
2013-08-06,101.5585
2013-08-05,101.7406
2013-08-02,101.8267
2013-08-01,102.0504
2013-07-31,101.8251
2013-07-30,101.6514
2013-07-29,101.4266
2013-07-26,101.4244
2013-07-25,101.543
2013-07-24,101.5633
2013-07-23,101.4008
2013-07-22,101.4611
2013-07-19,101.7049
2013-07-18,101.9061
2013-07-17,101.7473
2013-07-16,101.7238
2013-07-15,102.182
2013-07-12,102.2149
2013-07-11,102.1588
2013-07-10,102.9628
2013-07-09,103.1475
2013-07-08,103.2136
2013-07-05,103.2779
2013-07-03,102.7094
2013-07-02,102.6238
2013-07-01,102.3226
2013-06-28,102.538
2013-06-27,102.5044
2013-06-26,102.6665
2013-06-25,102.6056
2013-06-24,102.8686
2013-06-21,102.7028
2013-06-20,102.4098
2013-06-19,100.7389
2013-06-18,100.8035
2013-06-17,100.5793
2013-06-14,100.4331
2013-06-13,100.6102
2013-06-12,100.7483
2013-06-11,101.0789
2013-06-10,101.258
2013-06-07,100.8522
2013-06-06,101.0663
2013-06-05,101.4877
2013-06-04,101.5176
2013-06-03,101.3869
2013-05-31,101.8269
2013-05-30,101.6274
