id,open,high,low,close,volume (btc),volume (currency),class label
349,10.57,10.62,10.2,10.31,1412.06354452,14794.878071,BUY
350,10.31,11.93,10.31,10.78,4283.77447562,47639.9385692,BUY
351,10.9,11.21,10.63,11.0,2970.10121301,32516.0089825,BUY
352,11.0,11.05,10.49,10.78,4768.86011118,51406.9469502,BUY
353,10.81,10.91,10.51,10.65,1513.88396985,16231.9449458,SELL
354,10.65,10.8,9.69,10.16,2915.12925668,30015.3123361,SELL
355,10.2,10.2,9.85,9.91,665.20204584,6629.27028987,SELL
356,10.07,10.18,9.49,10.18,1340.45182161,13291.4568891,SELL
357,10.17,10.55,9.95,10.55,1166.65101376,12047.2936292,SELL
358,10.36,10.5,10.14,10.36,2649.65990947,27351.4684863,SELL
359,10.38,10.99,10.12,10.99,1870.38903071,19601.4158585,SELL
360,10.9,11.15,10.68,11.02,3296.23211519,35837.3866702,SELL
361,11.03,11.1,10.83,11.03,1351.7701121,14879.1309831,SELL
362,10.98,11.11,10.3,10.97,1355.12940957,14748.6867739,SELL
363,10.97,11.04,10.84,10.98,1216.12471856,13256.2561617,SELL
364,10.85,11.08,10.74,10.95,2492.06090795,27171.8144056,SELL
365,10.95,11.04,10.38,11.04,4794.96358934,51749.3533178,SELL
366,11.04,11.14,10.75,11.14,2414.68753316,26603.7790859,SELL
367,11.17,11.42,10.98,11.3,2138.98077281,24097.6673381,SELL
368,11.26,11.7,11.05,11.5,2127.29435418,24113.8386327,SELL
369,11.6,11.65,11.35,11.63,594.79395476,6868.33435549,SELL
370,11.63,11.8,11.53,11.75,1287.40625221,15018.6828869,SELL
371,11.75,11.88,11.58,11.85,689.94090289,8097.33938478,SELL
372,11.85,12.28,11.67,11.91,3735.01772907,44344.0228146,HOLD
373,11.9,12.5,11.9,12.32,1251.58348152,15406.2256121,BUY
374,12.44,12.66,12.28,12.28,767.93391028,9544.77720042,BUY
375,12.29,12.35,12.01,12.19,1990.3901719,24224.4104705,BUY
376,12.14,12.25,11.97,11.97,818.04702569,9870.66602751,SELL
377,12.11,12.11,11.79,11.99,1084.46274346,12907.5794302,SELL
378,11.99,11.99,11.69,11.9,1523.1995401,18068.2468857,SELL
379,11.9,12.18,11.56,11.75,3057.44986023,36342.3872357,SELL
380,11.8,12.2,11.53,12.2,3038.10509727,36547.1647192,SELL
381,12.2,12.38,11.84,12.22,3306.14546315,40040.3085038,SELL
382,12.21,12.28,11.53,12.28,2842.62287799,34197.6239798,SELL
383,12.28,12.28,12.12,12.28,584.15406141,7132.49968317,SELL
384,12.2,12.28,12.17,12.22,173.21424584,2111.59269328,BUY
385,12.21,12.27,11.6,12.14,3151.92775768,37889.9187128,BUY
386,12.2,12.7,12.14,12.64,4634.41770999,57712.6796416,BUY
387,12.63,12.99,12.45,12.9,4948.45567245,63268.3350241,BUY
388,12.9,12.9,12.51,12.57,3211.88600053,40800.1418282,BUY
389,12.61,12.7,11.5,12.5,5459.56068828,67349.9888162,BUY
390,12.51,12.6,12.06,12.39,1640.41684963,20370.9677592,BUY
391,12.39,12.45,11.52,11.71,3262.84750727,39134.3705883,BUY
392,11.7,11.99,10.42,11.62,2885.95781205,31964.1900946,SELL
393,11.62,12.26,11.52,11.99,1933.93908899,23092.5824101,BUY
394,11.85,12.25,11.79,12.24,2369.71836117,28378.1068484,BUY
395,12.1,12.13,11.58,12.09,2349.86047287,27788.0372797,HOLD
396,11.95,12.1,11.81,11.9,735.71660723,8827.92529323,BUY
397,11.9,12.0,11.81,11.85,486.61590663,5796.15214365,BUY
398,11.85,11.9,11.79,11.79,336.21764746,3981.40301594,BUY
399,11.78,11.84,11.03,11.66,3425.95800654,39335.8622219,HOLD
400,11.8,11.94,11.17,11.92,1004.49967705,11660.4321147,HOLD
401,11.79,11.97,11.15,11.88,3020.89053734,35317.8511305,BUY
